project_id,project_name,description,department,state,sector,original_cost_lakhs,revised_cost_lakhs,expenditure_lakhs,physical_progress_pct,start_date,target_completion_date,revised_completion_date,status
PRJ-001,Maharashtra Bridge Construction on River Yamuna,"Construction of a reinforced concrete bridge over River Yamuna in Nashik district, Maharashtra, with approach roads.",Ministry of Road Transport and Highways,Maharashtra,Transport,891.22,947.62,778.13,90.27,2020-03-23,2021-11-16,,Completed
PRJ-002,Madhya Pradesh Primary Health Center Gwalior,"Construction of a new primary health center in Gwalior block, Madhya Pradesh, with staff quarters.",Ministry of Health and Family Welfare,Madhya Pradesh,Health,1835.91,1929.61,1733.4,93.8,2023-04-13,2025-03-22,,Completed
PRJ-003,Odisha Drainage Improvement Scheme 3,"Improvement of storm water drainage system in Bhubaneswar town, Odisha, covering 12 km.",Ministry of Jal Shakti,Odisha,Water,512.76,535.31,509.02,90.7,2021-01-10,2023-08-24,,Completed
PRJ-004,Tamil Nadu Water Treatment Plant Chennai,"Construction of a 28 MLD water treatment plant in Chennai district, Tamil Nadu.",Ministry of Jal Shakti,Tamil Nadu,Water,739.17,778.56,674.31,96.09,2022-12-08,2025-11-06,,Completed
PRJ-005,Karnataka Wind Energy Project Phase 5,"Installation of wind turbines with 5 MW capacity in Mangaluru district, Karnataka.",Ministry of New and Renewable Energy,Karnataka,Energy,1224.57,1230.47,1230.47,99.43,2020-07-02,2021-09-07,,Completed
PRJ-006,Uttar Pradesh Irrigation Canal Modernization 6,"Modernization and lining of irrigation canal network in Kanpur district, Uttar Pradesh, covering 21 km.",Ministry of Jal Shakti,Uttar Pradesh,Water,965.89,1047.22,767.14,79.99,2022-04-12,2024-06-23,2024-08-27,In Progress
PRJ-007,Kerala District Hospital Upgrade Thiruvananthapuram,"Upgrading the district hospital in Thiruvananthapuram, Kerala, with additional wards and modern equipment.",Ministry of Health and Family Welfare,Kerala,Health,12082.34,12335.08,4961.22,38.52,2021-02-20,2023-10-23,,Stalled
PRJ-008,Rajasthan Medical College Expansion Jaipur,"Expansion of government medical college in Jaipur, Rajasthan, adding 13 seats and hostel.",Ministry of Health and Family Welfare,Rajasthan,Health,2398.4,2713.5,2563.79,91.06,2021-10-22,2023-04-22,,Completed
PRJ-009,Odisha Primary Health Center Cuttack,"Construction of a new primary health center in Cuttack block, Odisha, with staff quarters.",Ministry of Health and Family Welfare,Odisha,Health,2320.69,2529.18,2163.64,90.79,2019-08-18,2021-08-23,2021-10-06,In Progress
PRJ-010,Odisha Solar Power Plant 10 MW,"Installation of a 10 MW solar photovoltaic power plant in Bhubaneswar district, Odisha.",Ministry of New and Renewable Energy,Odisha,Energy,3157.0,3217.8,3103.36,98.72,2022-01-30,2023-07-18,,Completed
PRJ-011,West Bengal Power Substation Upgrade Siliguri,"Upgrading the 132/33 kV power substation in Siliguri, West Bengal, to improve distribution capacity.",Ministry of New and Renewable Energy,West Bengal,Energy,835.62,863.78,693.91,92.2,2022-04-19,2024-11-06,,Completed
PRJ-012,Uttar Pradesh State Highway 12 Widening,"Widening and strengthening of state highway 12 in Lucknow district, Uttar Pradesh, from 2-lane to 4-lane configuration.",Ministry of Road Transport and Highways,Uttar Pradesh,Transport,1753.15,1880.8,1352.04,9.07,2023-01-21,2025-08-27,,In Progress
PRJ-013,Gujarat Skill Development Center Rajkot,"Establishment of a vocational skill development center in Rajkot district, Gujarat.",Ministry of Education,Gujarat,Education,327.94,347.75,295.82,95.36,2019-08-12,2021-04-22,,Completed
PRJ-014,Rajasthan Wind Energy Project Phase 14,"Installation of wind turbines with 14 MW capacity in Jodhpur district, Rajasthan.",Ministry of New and Renewable Energy,Rajasthan,Energy,752.47,826.08,369.46,49.7,2019-01-31,2020-05-05,,Stalled
PRJ-015,Kerala College Infrastructure Upgrade Thrissur,"Upgrading infrastructure of government degree college in Thrissur, Kerala, including labs and library.",Ministry of Education,Kerala,Education,544.76,608.83,339.47,54.84,2021-05-16,2024-04-28,,Stalled
PRJ-016,Karnataka College Infrastructure Upgrade Hubballi,"Upgrading infrastructure of government degree college in Hubballi, Karnataka, including labs and library.",Ministry of Education,Karnataka,Education,279.24,292.38,97.83,38.59,2021-09-03,2024-01-30,,Stalled
PRJ-017,Tamil Nadu Primary Health Center Chennai,"Construction of a new primary health center in Chennai block, Tamil Nadu, with staff quarters.",Ministry of Health and Family Welfare,Tamil Nadu,Health,1188.31,1356.15,1289.8,90.82,2022-03-31,2024-11-28,,Completed
PRJ-018,West Bengal Medical College Expansion Siliguri,"Expansion of government medical college in Siliguri, West Bengal, adding 15 seats and hostel.",Ministry of Health and Family Welfare,West Bengal,Health,587.93,644.86,632.14,96.21,2023-03-20,2024-06-01,,Completed
PRJ-019,Tamil Nadu Rural Road Connectivity Phase 19,"Construction of rural all-weather roads connecting 31 villages in Tiruchirappalli district, Tamil Nadu, under PMGSY.",Ministry of Road Transport and Highways,Tamil Nadu,Transport,2162.87,4344.24,3047.77,11.54,2026-05-27,2029-03-31,,In Progress
PRJ-020,Bihar Water Pipeline Extension Gaya,Laying of 52 km water supply pipeline from Gaya reservoir to surrounding villages in Bihar.,Ministry of Jal Shakti,Bihar,Water,719.71,750.13,740.3,98.53,2020-12-03,2022-06-29,,Completed
PRJ-021,Maharashtra Water Pipeline Extension Aurangabad,Laying of 5 km water supply pipeline from Aurangabad reservoir to surrounding villages in Maharashtra.,Ministry of Jal Shakti,Maharashtra,Water,2382.02,2609.66,2098.47,94.28,2023-02-27,2025-05-24,,Completed
PRJ-022,Andhra Pradesh Rural Road Connectivity Phase 22,"Construction of rural all-weather roads connecting 62 villages in Nellore district, Andhra Pradesh, under PMGSY.",Ministry of Road Transport and Highways,Andhra Pradesh,Transport,2434.04,2449.31,1704.61,75.25,2023-06-19,2024-07-28,2024-09-22,In Progress
PRJ-023,West Bengal Irrigation Canal Modernization 23,"Modernization and lining of irrigation canal network in Asansol district, West Bengal, covering 60 km.",Ministry of Jal Shakti,West Bengal,Water,14750.94,15992.66,8204.28,54.02,2025-06-13,2027-12-13,,In Progress
